STT,Mã hồ sơ,Nhóm trạng thái,Trạng thái chi tiết,Số bản ghi hiện tại,Kiểm chứng 10%,Bản ghi giữ lại (#1),Thời gian cập nhật
636,H31.05.02.H31.09.2010.1670,LỖI KHÓA,Bỏ qua (Lỗi máy chủ) (Đã thử gửi lệnh xóa nhưng máy chủ Vinasynet không cập nhật (bản ghi bị khóa)),50,false,"Cấp chứng chỉ quy hoạch cho các cơ quan, doanh nghiệp năm 2010.",2026-09-21 12:07:52
637,H31.05.02.H31.09.2010.1669,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Phương án kiến trúc khách sạn và nhà ở liền kề Công ty CP thực phẩm xuất khẩu Hưng Yên thành phố Hưng Yên,2026-09-21 11:47:46
638,H31.05.02.H31.09.2010.1668,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc Trung tâm tin học phòng và phát triển tin học Ngân hàng phát triển Việt Nam tại Hưng Yên, thành phố Hưng Yên",2026-09-21 11:47:48
639,H31.05.02.H31.09.2010.1667,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc công trình Trung tâm an Yên. giáo dục thường xuyên tỉnh Hưng Yên giai đoạn 1 tại phường Lam Sơn, thành phố Hưng Yên",2026-09-21 11:47:51
640,H31.05.02.H31.09.2010.1666,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc điều chỉnh Quỹ tín dụng nhân dân TW chi nhánh Hưng Yên, hạng mục Trụ sở làm việc Nhà công vụ thành phố Hưng Yên",2026-09-21 11:47:53
641,H31.05.02.H31.09.2010.1665,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Phương án kiến trúc Khối Y tế dự phòng thành phố Hưng Yên; Trung tâm Y tế thành phố Hưng Yên,2026-09-21 11:47:55
642,H31.05.02.H31.09.2010.1664,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc Nhà kỹ thuật nghiệp vụ Trung tâm y tế dự phòng tỉnh Hưng Yên tại phường An Tảo, thành phố Hưng Yên",2026-09-21 11:47:57
643,H31.05.02.H31.09.2010.1663,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc Cơ quan thường trú Báo nhân dân tại Hưng Yên, thành phố Hưng Yên",2026-09-21 11:47:59
644,H31.05.02.H31.09.2010.1662,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Phương án kiến trúc Công trình: Nhà văn hóa huyện Ân Thi tại thị trấn Ân Thi,2026-09-21 11:48:02
645,H31.05.02.H31.09.2010.1661,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc Nâng cấp mở rộng Bệnh viện Y học cổ truyền tỉnh Hưng Yên, thành phố Hưng Yên.",2026-09-21 11:48:04
646,H31.05.02.H31.09.2010.1660,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Phương án kiến trúc Trung tâm khám chữa bệnh chất lượng cao theo yêu cầu Bệnh viên Đa khoa tỉnh Hưng Yên.,2026-09-21 12:07:56
647,H31.05.02.H31.09.2011.1655,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Phương án kiến trúc kho lưu trữ chuyên dụng Sở Nội vụ thành phố Hưng Yên,2026-09-21 12:07:58
648,H31.05.02.H31.09.2010.1659,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc Nhà điều trị Trung tâm phòng chống HIV/AIDS Hưng Yên, thành phố Hưng Yên.",2026-09-21 12:08:00
649,H31.05.02.H31.09.2010.1658,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc Nhà đón tiếp khách tham quan quần thể di tích Phố Hiến, ban quản lý dự án xây dựng KCHT đô thị thành phố Hưng Yên",2026-09-21 11:48:13
650,H31.05.02.H31.09.2010.1657,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Phương án kiến trúc cái tạo mở rộng nhà làm việc Sở Y tế thành phố Hưng Yên,2026-09-21 11:48:15
651,H31.05.02.H31.09.2010.1656,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Thiết kế bảo tàng tỉnh Hưng Yên,2026-09-21 11:48:17
652,H31.05.02.H31.09.2010.1654,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc nhà làm việc cơ quan thuộc sở Nông nghiệp & Phát triển nông thôn Hưng Yên, thành phố Hưng Yên",2026-09-21 11:48:19
653,H31.05.02.H31.09.2010.1653,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc trụ sở làm việc Đảng ủy khối các cơ quan dân chính Đảng và Đảng ủy khối doanh nghiệp tỉnh, văn phòng tỉnh ủy Hưng Yên",2026-09-21 11:48:22
654,H31.05.02.H31.09.2010.1652N,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Thẩm định tổng mặt bằng quy hoạch xây dựng các dự án đầu tư trên địa bàn huyện Yên Mỹ năm 2009,2026-09-21 11:48:24
655,H31.05.02.H31.09.2009.1652M,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Thẩm định tổng mặt bằng quy hoạch xây dựng các dự án đầu tư trên địa bàn huyện Văn Lâm năm 2009,2026-09-21 11:48:26
656,H31.05.02.H31.09.2009.1652L,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Thẩm định tổng mặt bằng quy hoạch xây dựng các dự án đầu tư trên địa bàn huyện Văn Giang năm 2009,2026-09-21 11:48:28
657,H31.05.02.H31.09.2009.1652K,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Thẩm định tổng mặt bằng quy hoạnh xây dựng các dự án đầu tư trên địa bàn huyện Tiên Lữ năm 2009,2026-09-21 11:48:30
658,H31.05.02.H31.09.2009.1652I,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Thẩm định tổng mặt bằng quy hoạch xây dựng các dự án đầu tư trên địa bàn huyện Mỹ Hào năm 2009,2026-09-21 11:48:33
659,H31.05.02.H31.09.2009.1652H,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Thẩm định tổng mặt bằng quy hoạch xây dựng các dự án đầu tư trên địa bàn huyện Kim Động năm 2009,2026-09-21 11:48:35
660,H31.05.02.H31.09.2009.1652Đ,CẦN SCAN LẠI,Không tìm thấy hồ sơ (Không tìm thấy hồ sơ nào với mã này trên hệ thống Vinasynet),0,false,-,2026-09-21 12:08:05
661,H31.05.02.H31.09.2009.1652G,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Thẩm định tổng mặt bằng quy hoạch xây dựng các dự án đầu tư trên địa bàn huyện Khoái Châu năm 2009,2026-09-21 12:08:08
662,H31.05.02.H31.09.2009.1652F,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Thẩm định tổng mặt bằng quy hoạch xây dựng các dự án đầu tư trên địa bàn thành phố Hưng Yên năm 2009,2026-09-21 11:48:43
663,H31.05.02.H31.09.2009.1648C,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho Công ty TNHH thiết kế sản xuất Thiện Mỹ Hưng Yên tại xã Tân Quang, huyện Văn Lâm để thực hiện dự án Nhà máy sản xuất khuôn mẫu ngành in năm 2009",2026-09-21 12:08:10
664,H31.05.02.H31.09.2009.1648B,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Về việc cấp chứng chỉ quy hoạch cho các cơ quan doanh nghiệp năm 2009,2026-09-21 11:48:47
665,H31.05.02.H31.09.2009.1648A,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Về việc cấp giấy Phép xây dựng cho các cơ quan, doanh nghiệp năm 2008-2009",2026-09-21 11:48:50
666,H31.05.02.H31.09.2009.1648,LỖI KHÓA,Bỏ qua (Lỗi máy chủ) (Đã thử gửi lệnh xóa nhưng máy chủ Vinasynet không cập nhật (bản ghi bị khóa)),50,false,Cấp GPXD cho trường Trung cấp kinh tế và công nghệ Lương Tài tại xã Lương Tài huyện Văn Lâm để thực hiện dự án Trường Trung cấp kinh tế và công nghệ Lương Tài năm 2009.,2026-09-21 12:08:21
667,H31.05.02.H31.09.2009.1637,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp giấy phép xây dựng cho Công ty TNHH Thép Nhật Quang tại xã Lạc Đạo, huyện Văn Lâm các hạng mục công trình nhà xưởng D1, D2, D3, D4 để thực hhện dự án Nhà máy thép công nghiệp Nhật Quang",2026-09-21 11:49:03
668,H31.05.02.H31.09.2009.1636,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Cấp phép xây dựng cho công ty TNHH Khai Pha I tại huyện Văn Lâm cho công trình nhà hiệu bộ trường Cao đẳng Công Thương,2026-09-21 11:49:05
669,H31.05.02.H31.09.2009.1635,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp giấy phép xây dựng cho Công ty cổ phần Hoàng Hà tại thị trấn Như Quỳnh, huyện Văn Lâm để thực hiện dự án nhà máy sản xuất bao bì PBP - PK cửa hàng xăng dầu - gas Bình Minh",2026-09-21 12:08:23
670,H31.05.02.H31.09.2009.1634,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho công ty TNHH thương mại và chuyển giao công nghệ Tiến Đạt tại xã Vĩnh Khúc, huyện Văn Giang để thực hiện công trình nhà máy chế biến và sản xuất đồ gỗ",2026-09-21 11:49:09
671,H31.05.02.H31.09.2009.1633,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho công ty TNHH cơ diện Tiến Dũng tại thị xã Vĩnh Khức, huyện Văn Giang để thực hiện công trình nhà xưởng sản xuất công ty TNHH cơ điện Tiến Dũng",2026-09-21 11:49:11
672,H31.05.02.H31.09.2009.1632,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho Công ty Cổ phần bánh kẹo Hải Châu tại xã Vĩnh Khúc, huyện Văn Giang, tỉnh Hưng Yên để thực hiện dự án đầu tư xây dựng nhà máy bánh kẹo Hải Châu. Hạng muc kho nguyễn liệu 2",2026-09-21 11:49:14
673,H31.05.02.H31.09.2009.1631,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho công ty cổ phần bao bì Đông Phú tại xã Vĩnh Khúc, huyện Văn Giang để thực hiện công trình nhà máy sản xuất bao bì",2026-09-21 11:49:16
674,H31.05.02.H31.09.2009.1630,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho công ty số phân tập đoàn Merap tại thôn Bá Khê, xã Tân Tiến, huyện Văn Giang để thực hiện công trinh nhà máy sản xuất tân dược đạt tiêu chuẩn GMP-WHO",2026-09-21 11:49:18
675,H31.05.02.H31.09.2009.1623,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho Công ty TNHH Đầu tư và PTCN An Đình tại xã Ngọc Lâm, huyện Mỹ Hào để thực hiện dự án nhà máy nông sản thực phẩm sạch An Đình",2026-09-21 11:49:20
676,H31.05.02.H31.09.2009.1622,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho Công ty Cổ phần. kerry. Integrated Logistics (HY) tại xã Minh Đức, huyện Mỹ Hào thuộc dự án khu dịch vụ kho bãi giao nhận vận chuyển Logistics",2026-09-21 11:49:23
677,H31.05.02.H31.09.2009.1617,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng nhà kho Sacombank tại thị trấn Bần Yên Nhân, tỉnh Hưng Yên",2026-09-21 11:49:25
678,H31.05.02.H31.09.2009.1615,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho Công ty Cổ phần Đồng Xanh tại thị trấn Lương Bằng, huyện Kim Động để thực hiện công trình nhà xưởng công ty cổ phần Đồng Xanh. Hạng mục xưởng sản xuất 36x60x6M",2026-09-21 11:49:27
679,H31.05.02.H31.09.2009.1614,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho công ty cố phần Phú Thái tại huyện Kim Động, thành phố Hưng Yên để thực hiện dự án nhà máy chế biến thức ăn chăn nuôi",2026-09-21 12:08:27
680,H31.05.02.H31.09.2009.1613,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho Công ty TNHH thương mại và dịch vụ Hà Minh Đức tại xã Phùng Hưng, huyện Khoái Châu để thực hiện dự án công trình Nhà máy sản xuất gạch Tuynel Minh Đức",2026-09-21 12:08:29
681,H31.05.02.H31.09.2009.1612,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho Công ty TNHH MTV dệt kim Đông Xuân huyện Khoái Châu, tỉnh Hưng Yên để thực hiện dự án Nhà máy sản phẩm dệt kim chất lượng cao, hạng mục: nhà ăn ca",2026-09-21 11:49:34
682,H31.05.02.H31.09.2009.1611,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho Công ty cổ phần dinh dưỡng quốc tế Đài Loan tại huyện Khoái Châu, tỉnh Hưng Yên để thực hiện dự án Nhà máy chế biến nông sản và thức ăn chăn nuôi",2026-09-21 11:49:36
683,H31.05.02.H31.09.2009.1610,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho công ty cổ phần Thương mại Du lịch - Khoái Châu tại thị trấn Khoái Châu, huyện Khoái Châu để thực hiện công trình trung tâm thương mại tại thị trấn Khoái Châu",2026-09-21 11:49:38
684,H31.05.02.H31.09.2009.1609,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho doanh nghiệp tư nhân Hưng Hải tại thành phố Hưng Yên, tỉnh Hưng Yên để thực hiện công trình bến đỗ xe Hưng Hải",2026-09-21 11:49:40
685,H31.05.02.H31.09.2009.1608,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho công ty TNHH Tường Minh tại xã Bảo Khê, thành phố Hưng Yên, tỉnh Hưng Yên cho công trình nhà điều hành và nhà hàng thực hiện dự án khách sạn Tường Minh",2026-09-21 11:49:42
686,H31.05.02.H31.09.2009.1607,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho công ty TNHH may xuất khẩu HYUNG Ji, huyện Ân Thi để thực hiện dự án xây dựng Nhà máy may xuất khẩu MYUNG Ji",2026-09-21 11:49:45
687,H31.05.02.H31.09.2009.1606,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc công trình chợ và khu nhà ở thương mại Yên Mỹ, huyện Yên Mỹ",2026-09-21 11:49:47
688,H31.05.02.H31.09.2019.1605,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc Trung tâm Giáo dục thường xuyên Phố Nối nhà lớp học 3 tầng 15 phòng học tại xã Liêu Xá, huyện Yên Mỹ",2026-09-21 11:49:49
689,H31.05.02.H31.09.2009.1604,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc Khu công viên cây xanh và cải tạo phần mộ song thân Tổng Bí thư Nguyễn Văn Linh, huyện Yên Mỹ.",2026-09-21 11:49:51
690,H31.05.02.H31.09.2009.1603,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Phương án kiến trúc phương án 1 trường Trung học phổ thông Dương Quảng Hàm. Hang mục nhà đa năng tại xã diễn Nghĩa huyện Văn Giang,2026-09-21 11:49:54
691,H31.05.02.H31.09.2009.1601,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc cho bao bì huyện Mỹ Hào tỉnh Hưng Yên, công trình chỉ bao bì và khu Phố Nối tại UBND Phố Nối nhà thương mại phố Nối tại UBND Phố Nối năm 2009",2026-09-21 11:49:59
692,H31.05.02.H31.09.2007-2009.1602,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Phương án kiên trúc công trình trụ sở làm việc Chi cục thuế huyện Tiên Lữ,2026-09-21 11:50:04
693,H31.05.02.H31.09.2009.1594,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho công ty TNHH Tường Minh tại xã Bảo Khê, thị xã Hưng Yên, tỉnh Hưng Yên thuộc dự án khách sạn Tường Minh năm 2009",2026-09-21 11:50:09
694,H31.05.02.H31.09.2009.1600,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc công trình bệnh viện tâm thần kinh Hưng Yên (giai đoạn 3); Hạng mục: Nhà phục hồi chức năng và nhà nghỉ CBCNV tại xã Song Mai, huyện Kim Động năm 2009",2026-09-21 11:50:14
695,H31.05.02.H31.09.2009.1599,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc công trình đền thờ các anh hùng liệt sĩ huyện Kim Động tại thị trấn Lương Bằng, huyện Kim Động năm 2009",2026-09-21 11:50:19
696,H31.05.02.H31.09.2009.1598,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Phương án kiến trúc (PA1) công trình Trung tâm thương mại năm 2009 tại thị trấn Khoái Châu,2026-09-21 11:50:24
697,H31.05.02.H31.09.2009.1597,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc công trình cải tạo, nâng cấp Trụ sở làm việc HĐND, UBND huyện Khoái Châu, tỉnh Hưng Yên năm 2009",2026-09-21 11:50:29
698,H31.05.02.H31.09.2009.1596,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc Trụ sở giao dịch và Cửa hàng giới thiệu sản phẩm, thành phố Hưng Yên năm 2009",2026-09-21 11:50:34
699,H31.05.02.H31.09.2009.1595,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc công trình khách sạn Tường Minh tại xã Bảo Khê, thị xã Hưng Yên, tỉnh Hưng Yên năm 2009",2026-09-21 11:50:39
700,H31.05.02.H31.09.2009.1593,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc Quỹ tín dụng nhân dân Trung ương - Chi nhánh Hưng Yên phường Lam Sơn, thành phố Hưng Yên năm 2009",2026-09-21 11:50:44
701,H31.05.02.H31.09.2009.1591,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án quy hoạch kiến trúc Tòa nhà Viettel Hưng Yên tại phường Hiến Nam, thị xã Hưng Yên, tỉnh Hưng Yên năm 2009",2026-09-21 11:50:49
702,H31.05.02.H31.09.2009.1590,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc Trụ sở Công ty xổ số kiến thiết Hưng Yên, thị xã Hưng Yên, tỉnh Hưng Yên năm 2009",2026-09-21 11:50:54
703,H31.05.02.H31.09.2009.1589,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc công trình Trung tâm giáo dục lao động xã hội tỉnh Hưng Yên, Hạng mục: Nhà làm việc + xưởng học nghề tại xã Xuân Trúc, huyện Ân Thi năm 2009",2026-09-21 11:50:59
704,H31.05.02.H31.09.2009.1587,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc Trường cao đẳng sư phạm Hưng Yên - Ký túc xá C4, C2 tại phường An Tảo, TP. Hưng Yên năm 2009",2026-09-21 12:08:35
705,H31.05.02.H31.09.2009.1586,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc công trình Cổng + Nhà bảo vệ của Trường Cao đẳng Sư phạm Hưng Yên tại phường An Tảo, TP. Hưng Yên năm 2009",2026-09-21 12:08:37
706,H31.05.02.H31.09.2009.1585,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc công trình Nhà giảng đường - Trường nghiệp vụ thể dục thể thao Hưng Yên tại phường Hiến Nam, thành phố Hưng Yên năm 2009",2026-09-21 11:51:14
707,H31.05.02.H31.09.2008-2009.1592,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,Về phương án kiến trúc công trình Trụ sở làm việc công ty CP xây dựng đê kè thuỷ lợi Hưng Yên năm 2009,2026-09-21 12:08:39
708,H31.05.02.H31.09.2008-2009.1588,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Phương án kiến trúc Khoa Ung bướu - Bệnh viện đa khoa Hưng yên, TP Hưng Yên năm 2009",2026-09-21 11:51:24
709,H31.05.02.H31.09.2008.1573,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho công ty cổ phần kỹ nghệ GK tại xã Trưng Trắc, huyện Văn Lâm thuộc dự án N/m sản xuất thuốc thú y - GMP năm 2008",2026-09-21 11:51:29
710,H31.05.02.H31.09.2008.1572,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho Công ty TNHH đầu tư và thương mại VIWA tại Tân Quang, huyện Văn Lâm thuộc dự án nhà máy sản xuất ống nhựa chịu nhiệt PP-R năm 2008",2026-09-21 11:51:34
711,H31.05.02.H31.09.2008.1571,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho Công ty cổ phần Nguyễn Hồng II tại xã Tân Quang, huyện Văn Lâm thuộc dự án Nhà máy đồ chơi và quà lưu niệm, hạng mục: Nhà xưởng số 2 năm 2008",2026-09-21 11:51:39
712,H31.05.02.H31.09.2008.1570,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho Công ty TNHH công nghiệp Matec tại xã Lạc Đạo, huyện Văn Lâm thuộc dự án Nhà máy dây và cáp điện Matec năm 2008",2026-09-21 11:51:44
713,H31.05.02.H31.09.2008.1569,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho Công ty TNHH Dịch vụ vận tải và Thương mại Tùng Dương tại xã Đình Dù, huyện Văn Lâm cho Công trình Nhà máy sản xuất tấm lợp tôn sóng năm 2008.",2026-09-21 11:51:49
714,H31.05.02.H31.09.2008.1568,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho Công ty TNHH sản xuất phụ tùng ô tô xe máy Việt Nam tại thị trấn Như Quỳnh, huyện Văn Lâm thuộc dự án Nhà máy sản xuất phụ tùng ô tô xe máy năm 2008.",2026-09-21 11:51:54
715,H31.05.02.H31.09.2008.1567,HOÀN THÀNH,"Đạt chuẩn (1 bản duy nhất) (Hồ sơ chuẩn, không có bản trùng thừa)",1,true,"Cấp phép xây dựng cho Công ty CP Thực phẩm xuất khẩu Trung Sơn Hưng Yên tại thị trấn Như Quỳnh, huyện Văn Lâm cho các công trình thuộc dự án: Nhà máy chế biến nông sản thực phẩm xuất khẩu năm 2008",2026-09-21 11:51:59
